Country,EF2013,EF2009,GDP2013,GDP2009,EFDelta,GDPDelta,DDelta,EFDelta_P,GDPDelta_P,DDelta_P,DDelta_Rank,EFDelta_Rank,GDPDelta_Rank,Dec_Flag,GDP_std
Nepal,25927161.1,22529911.5,18057549556,15267319043,3397249.6,2790230513,2786833263,15.0788413,18.27583812,3.196996816,105,106,90,0,27.79325302
Netherlands,97430716.4,94448545.62,8.40E+11,8.25E+11,2982170.781,14895000000,14892017829,3.157455481,1.805739086,-1.351716395,126,58,17,0,156.4882786
New Zealand,22832080.24,20433767.06,1.58E+11,1.45E+11,2398313.181,13327000000,13324601687,11.7370095,9.216267989,-2.52074151,130,96,48,0,49.69994083
Nicaragua,8530623.655,8444618.634,10249669824,8470978895,86005.02084,1778690929,1778604924,1.018459501,20.99746618,19.97900668,32,53,104,0,26.57039046
Niger,27445707.48,22661668.93,6886614682,5276949262,4784038.552,1609665420,1604881381,21.1107071,30.50371228,9.39300518,73,131,127,0,26.04367202
Nigeria,185014072.8,178735635.5,4.25E+11,3.42E+11,6278437.27,83208000000,83201721563,3.512694741,24.31333131,20.80063657,28,61,113,0,91.59709812
Norway,29304080.01,28695475.12,4.49E+11,4.26E+11,608604.8855,23049000000,23048391395,2.120908899,5.411058759,3.29014986,104,56,31,0,95.28860871
Oman,22137212.66,16328716.25,66176853056,55953966190,5808496.414,10222886866,10217078370,35.57227847,18.27017379,-17.30210468,148,153,89,0,35.32965177
Pakistan,132093582.1,142618735.1,1.97E+11,1.75E+11,-10525153.07,22368000000,22378525153,-7.379923161,12.81084982,20.19077298,31,20,65,1,55.81434785
Panama,10699325.15,10115993.09,37655354226,27340384382,583332.0655,10314969844,10314386512,5.766434008,37.72796205,31.96152804,11,70,146,0,30.86264222
Papua New Guinea,11059020.65,12417349.91,12265958484,9023602246,-1358329.257,3242356238,3243714567,-10.93896256,35.9319499,46.87091246,1,13,143,1,26.88617964
Paraguay,25936804.83,21158214.15,23538668873,17711553670,4778590.679,5827115203,5822336612,22.58503787,32.9000793,10.31504143,69,136,138,0,28.65170063
